Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
grin,6,2,4,EYE(3); MIND(1); FACE(1); ABDOMEN(1),,,"LONGING for things which are rejected when offered (See Capriciousness) / sunshine, light and society, for","[g2|MIND] LONGING for things which are rejected when offered (See Capriciousness) / sunshine, light and society, for"
griping,2,1,1,ABDOMEN(2),"PAIN, cramping, griping, sitting, while (agg.) / Hypogastrium",,,
grumbling,1,2,1,RECTUM(1),,,,[g2|RECTUM] FULLNESS / Perineum
guai,324,2,19,HEAD(93); MIND(44); FACE(42); STOMACH(34); ABDOMEN(17); EYE(15),"CONSTRICTION, morning (agg.) / band or hoop | DULLNESS, sluggishness, difficulty of thinking and comprehending / standing agg. | PAIN (aching, prosopalgia, etc.) / air, open, agg. | PAIN, air, open, amel. / sitting agg. | PAIN, air, open, amel. / standing agg. | PAIN, cramping, griping, sitting, while (agg.) / stool, before | PAIN, cutting, sleep, during (agg.) / Temples | PAIN, cutting, sleep, during (agg.) / left | PAIN, morning (agg.) / morning | PAIN, occiput, warm clothing agg. / left | PAIN, occiput, warm clothing agg. / sides of | PAIN, sore, bruised, occiput, motion, on (agg.) / Brain | PAIN, sore, bruised, occiput, motion, on (agg.) / Forehead | PAIN, sore, bruised, occiput, motion, on (agg.) / Stitching | PAIN, sore, bruised, occiput, motion, on (agg.) / eminence frontal","FLATUS / amel. | PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / periodical | PAIN, air, open, amel. / sitting agg. | PAIN, air, open, amel. / standing agg. | PAIN, doubling up (See Bending) / amel. | PAIN, listening to reading and talking / amel. | PAIN, lying, with legs drawn up amel. / paroxysmal | PAIN, lying, with legs drawn up amel. / pressure | PAIN, paroxysmal pains / amel. | PAIN, pressing, vertex, binding head up amel. / upward | PAIN, pressure, cold hand amel. / rheumatic | PAIN, rising, from sitting, amel. / amel. | PAIN, rising, from sitting, amel. / sitting | PAIN, rising, from sitting, amel. / standing, while","ABSENT-MINDED (See Forgetful) | ABSENT-MINDED (See Forgetful) / morning | ABSTRACTION of mind | ABSTRACTION of mind / morning | CENSORIOUS, critical | CONFUSION of mind (See Concentration) / dream, as if in | CONTEMPTUOUS (See Scorn) | DEFIANT | DELIRIUM / falling, on | DELUSIONS, lip, lower, is swollen / narrow, everything seems too | DISOBEDIENCE | DULLNESS, sluggishness, difficulty of thinking and comprehending | DULLNESS, sluggishness, difficulty of thinking and comprehending / morning | DULLNESS, sluggishness, difficulty of thinking and comprehending / standing agg. | FEAR, dawn, of the return of / exertion, of","[g2|MIND] ABSENT-MINDED (See Forgetful) / morning | [g2|MIND] ABSTRACTION of mind / morning | [g2|MIND] DELUSIONS, lip, lower, is swollen / narrow, everything seems too | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending | [g2|MIND] SIT, inclination to | [g2|MIND] WEEPING, looked at, when / nightmare, after | [g2|HEAD] PAIN, occiput, sides of, waking, after / neck | [g2|HEAD] PAIN, occiput, sides of, waking, after / head and face, of, extending to neck | [g2|HEAD] PAIN, nail, as from a, forehead, left side / night | [g2|HEAD] PAIN, pressing, vertex, binding head up amel. / upward | [g2|HEAD] PAIN, sore, bruised, occiput, motion, on (agg.) / frontal eminence | [g2|HEAD] PERSPIRATION scalp | [g2|EYE] OPEN lids | [g2|EYE] PROTRUSION | [g2|EYE] SWOLLEN | [g2|EYE] SWOLLEN / sensation of swelling | [g2|FACE] EXPRESSION, anxious / old looking | [g2|FACE] PAIN (aching, prosopalgia, etc.) / 6 p.m. till morning | [g2|FACE] PAIN, sun, come and go with / walking agg. | [g2|FACE] PAIN, sore, bruised, submaxillary gland / evening"
guano,1,1,1,HEAD(1),,,,
guar,10,2,4,STOOL(5); EYE(2); BLADDER(2); HEAD(1),"PAIN, clothing about the neck agg. / coffee, from",,,"[g2|EYE] PAIN, evening, on reading and writing / heat, during"
guare,78,2,16,STOMACH(17); MOUTH(12); FACE(8); EAR(6); HEAD(5); EYE(5),"PAIN, excitement, from (agg.) / painful side, agg. | PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness)",PAIN / amel.,"ANXIETY, chill, during / fever, during | IRRESOLUTION | LOQUACITY (See Speech)","[g2|EYE] CHEMOSIS / operation for cataract, after | [g2|HEARING] IMPAIRED / alternating with eye symptoms | [g2|STOMACH] CONSTRICTION | [g2|BLADDER] URGING, night, 4 a.m. / evening"
gums,2,1,1,MOUTH(2),,,,
gymn,93,2,13,HEAD(31); STOMACH(14); EYE(9); ABDOMEN(8); FACE(6); THROAT(6),"PAIN, bending head, to one side (agg.) / catarrhal | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / amel. | PAIN, sore, bruised, occiput, motion, on (agg.) / Temples | PAIN, sore, bruised, occiput, motion, on (agg.) / left | PAIN, temples, stooping, from (agg.) / extending backward over ears | PAIN, weather, warm, begins with the (agg.) / Forehead, in | PULSATING, sides, motion agg. / Temples","HEAT, cold water, amel. / Forehead | PAIN, drawing up the limbs amel. / after | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / amel. | PAIN, shooting, temples, pressure amel. / Sore bruised, sensitive to pressure | PAIN, shooting, temples, pressure amel. / morning","FORGETFUL (See Memory) | INDIFFERENCE, apathy, etc. | WORK, aversion to mental / impossible","[g2|VERTIGO] ERUCTATIONS, during | [g2|HEAD] PAIN, forenoon, 8 a.m. / 8 p.m. | [g2|HEAD] PAIN, forehead, eyes, above, numbness, followed by / head | [g2|EYE] PAIN, turning sideways / noon | [g2|MOUTH] PAIN, burning, raw and smarting / drawing | [g2|STOMACH] PAIN, burning, morning / circumscribed | [g2|ABDOMEN] PAIN, inguinal region, extending, pubis / forenoon"
h,7,1,4,STOMACH(3); EYE(2); NOSE(1); URINE(1),,,,
haem,29,2,8,HEAD(9); ABDOMEN(5); MIND(4); THROAT(3); STOMACH(3); EYE(2),"ANXIETY, evening, bed, in (agg.) / night | CONSTRICTION, morning (agg.) / Forehead | PAIN, sore, bruised, occiput, motion, on (agg.) / Temples","PAIN, hypochondria, lying on back, amel. / stool, before","ANXIETY, evening, bed, in (agg.) / night | MISTAKES in calculating / speaking | RESTLESSNESS, nervousness | SADNESS, mental depression","[g2|THROAT] SWALLOWING, difficult / saliva | [g2|ABDOMEN] TENSION / stool, before"
ham,389,2,21,HEAD(75); STOMACH(43); EAR(28); NOSE(28); MIND(26); EYE(26),"CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / Forehead | LYING, while (agg.) / amel. | LYING, while (agg.) / while | PAIN / motion agg. | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / coughing, on | PAIN, cramping, griping, sitting, while (agg.) / Umbilicus, region of | PAIN, cutting, sleep, during (agg.) / Temples | PAIN, evening, on reading and writing / pressure agg. | PAIN, morning (agg.) / forenoon | PAIN, morning (agg.) / rising, on | PAIN, rising, from sitting, amel. / morning, second sleep, agg. | PAIN, temples, stooping, from (agg.) / temple to temple | PAIN, walking, compelled to stand or walk / warm room agg.","LYING, while (agg.) / amel. | PAIN, behind ear, right / pressure amel. | PAIN, boring, behind the ear, writing / pressure amel. | PAIN, clothing about the neck agg. / amel. | PAIN, cramping, griping, bending forward amel. / breakfast, after | PAIN, drawing up the limbs amel. / after | PAIN, evening, on reading and writing / amel. | PAIN, forehead, business men / amel. | PAIN, forehead, business men / rubbing amel. | PAIN, forehead, right side / amel. | PAIN, forehead, turning eyes upward / amel. | PAIN, forenoon, 8 a.m. / amel. | PAIN, hypochondria, lying on back, amel. / Hypogastrium | PAIN, listening to reading and talking / amel. | PAIN, lying, on right side / amel.","ABSENT-MINDED (See Forgetful) | ABSORBED, buried in thought | ANGER, irascibility (See Irritability and Quarrelsome) | COMPANY aversion to | CONCENTRATION active / difficult | DISCONTENTED, displeased, dissatisfied, etc. | DULLNESS, sluggishness, difficulty of thinking and comprehending / afternoon | FORGETFUL (See Memory) | FORGETFUL, mental exertion, from / words, of, while speaking | HAUGHTY | IRRITABILITY (See Anger) | MEDITATION (See Absorbed) | MEMORY, weakness of, labor, for mental (compare stupefaction) / read, for what has | MEMORY, weakness of, labor, for mental (compare stupefaction) / words, for | MISTAKES in calculating / speaking","[g2|MIND] REVERENCE for those around him | [g2|MIND] THOUGHTS of death (See Death) / studying, while | [g2|HEAD] FULLNESS, morning, 10 a.m. to 10 p.m. / stool, when straining at | [g2|HEAD] PAIN, pressure, cold hand amel. / amel. | [g2|HEAD] PAIN, rising, from sitting, amel. / morning, second sleep, agg. | [g2|HEAD] PAIN, bursting, menses, instead of / stooping, while | [g2|HEAD] PAIN, nail, as from a, forehead, left side / temple, to | [g2|EYE] PAIN / 8 p.m. | [g2|EYE] PAIN, sand, as from, right / sore, bruised, tender | [g2|EAR] FULLNESS, sensation of / morning | [g2|EAR] NOISES in / 8 p.m. | [g2|EAR] NOISES, ringing, afternoon, 3 p.m. / 8 p.m. | [g2|EAR] PAIN, afternoon, 3 p.m. / headache, during | [g2|EAR] PAIN, warmth of bed agg. / finger ends | [g2|EAR] PAIN, behind ear, right / 11 a.m. | [g2|EAR] PAIN, behind ear, right / afternoon | [g2|EAR] PAIN, behind ear, right / evening | [g2|EAR] PAIN, behind ear, right / pressure amel. | [g2|EAR] PAIN, boring, behind the ear, writing / pressure amel. | [g2|NOSE] EPISTAXIS"
